GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-05-11T22:00;11.05.2024 22:00;0.1;323;99;1023;11.4;11;9;8;53.6;5.5;2.5;12.7;100
2024-05-11T23:00;11.05.2024 23:00;0;239;99;1023;11.2;11;8;7;51.4;5.5;2.5;9.7;100
2024-05-12T00:00;12.05.2024 0:00;0.2;354;99;1022;10.5;12;9;9;48.2;5.5;2.5;4;100
2024-05-12T01:00;12.05.2024 1:00;0.8;8;99;1023;11;18;15;14;46.4;5.5;2.5;10.3;100
2024-05-12T02:00;12.05.2024 2:00;1;3;99;1023;10;23;18;16;38.8;5.5;2.5;12.9;100
2024-05-12T03:00;12.05.2024 3:00;0.5;1;99;1023;8.9;22;15;13;43;5.5;2.5;10.4;100
2024-05-12T04:00;12.05.2024 4:00;0.4;12;99;1023;7.8;17;10;9;48.7;5.5;2.5;9.9;100
2024-05-12T05:00;12.05.2024 5:00;0.5;10;91;1023;8.6;16;8;7;52.6;5.5;2.5;8.7;100
2024-05-12T06:00;12.05.2024 6:00;1.1;358;74;1024;10.4;15;8;6;57.7;5.5;2.5;8.1;100
2024-05-12T07:00;12.05.2024 7:00;1;351;65;1024;12.2;15;8;6;62.7;5.5;2.5;4;100
2024-05-12T08:00;12.05.2024 8:00;1;17;53;1024;14.3;15;6;5;73.8;5.5;2.5;4;100
2024-05-12T09:00;12.05.2024 9:00;1.2;17;39;1024;15.6;13;5;3;90.6;5.5;2.5;4;100
2024-05-12T10:00;12.05.2024 10:00;1;35;33;1024;16.6;10;4;3;99.4;5.5;2.5;4;100
2024-05-12T11:00;12.05.2024 11:00;1.2;4;33;1024;17.4;9;3;2;100.9;5.5;2.5;4;100
2024-05-12T12:00;12.05.2024 12:00;1.1;9;31;1023;17.9;10;3;2;104.9;5.5;2.5;4;100
2024-05-12T13:00;12.05.2024 13:00;1.2;71;32;1023;18.3;9;3;2;105.8;5.5;2.5;4;100
2024-05-12T14:00;12.05.2024 14:00;0.9;69;34;1022;18.4;11;4;2;104.2;5.5;2.5;4;100
2024-05-12T15:00;12.05.2024 15:00;1.2;74;35;1022;18.1;10;4;2;105.3;5.5;2.5;4;100
2024-05-12T16:00;12.05.2024 16:00;1.2;70;37;1022;18;12;4;2;102.6;5.5;2.5;4;100
2024-05-12T17:00;12.05.2024 17:00;1.2;76;36;1022;17.4;10;4;2;102.6;5.5;2.5;4;100
2024-05-12T18:00;12.05.2024 18:00;1;85;39;1022;16.4;9;3;2;97.7;5.5;2.5;4;100
2024-05-12T19:00;12.05.2024 19:00;0.8;91;43;1022;14.8;10;4;2;91.7;5.5;2.5;4;100
2024-05-12T20:00;12.05.2024 20:00;0.5;101;47;1022;13;9;4;3;83.9;5.5;2.5;10.6;100
2024-05-12T21:00;12.05.2024 21:00;0.1;130;54;1022;10.9;10;4;3;78.5;5.5;2.5;10.3;100
2024-05-12T22:00;12.05.2024 22:00;0.1;171;62;1022;9.1;10;5;4;73.6;5.5;2.5;9.5;100
2024-05-12T23:00;12.05.2024 23:00;0;251;66;1022;7.9;10;5;4;69.6;5.5;2.5;9.1;100
2024-05-13T00:00;13.05.2024 0:00;0.1;185;79;1022;6.4;12;7;5;51.6;5.5;2.5;15.9;100
2024-05-13T01:00;13.05.2024 1:00;0.3;12;85;1022;6.6;15;9;7;35.4;5.5;2.5;29.5;100
2024-05-13T02:00;13.05.2024 2:00;0.4;16;83;1022;6.5;16;9;7;40;5.5;2.5;21.6;100
2024-05-13T03:00;13.05.2024 3:00;0.1;22;89;1021;5.7;15;9;8;32.6;5.5;2.5;21.1;100
2024-05-13T04:00;13.05.2024 4:00;0.1;184;99;1022;4.4;15;10;8;21.5;5.5;2.5;26.8;100
2024-05-13T05:00;13.05.2024 5:00;0.1;242;99;1021;5.2;19;11;9;15.3;5.5;6.3;29.3;100
2024-05-13T06:00;13.05.2024 6:00;0.2;61;75;1021;8.8;19;11;9;26.8;5.5;12.9;32.7;100
