GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-01-04T11:00;04.01.2024 11:00;2;208;86;999;7.8;10;;;63.3;5.5;2.5;4;100
2024-01-04T12:00;04.01.2024 12:00;1.9;211;88;999;7.9;13;;;61.6;5.5;2.5;4;100
2024-01-04T13:00;04.01.2024 13:00;1.9;219;87;1000;8.1;13;;;61.2;5.5;2.5;4;100
2024-01-04T14:00;04.01.2024 14:00;2.2;208;86;1000;8.3;9;;;60.3;5.5;2.5;4;100
2024-01-04T15:00;04.01.2024 15:00;1.9;205;85;1000;8.3;3;;;58.7;5.5;2.5;8.3;100
2024-01-04T16:00;04.01.2024 16:00;1.7;220;82;1001;8.2;3;;;59.4;5.5;2.5;4;100
2024-01-04T17:00;04.01.2024 17:00;1.5;226;87;1001;7.7;9;;;55;5.5;2.5;10.6;100
2024-01-04T18:00;04.01.2024 18:00;2;223;81;1002;7.4;3;;;65.1;5.5;2.5;4;100
2024-01-04T19:00;04.01.2024 19:00;1.5;219;83;1003;6.9;6;;;61;5.5;2.5;4;100
2024-01-04T20:00;04.01.2024 20:00;1.7;208;83;1005;6.5;6;;;60.3;5.5;2.5;4;100
2024-01-04T21:00;04.01.2024 21:00;0.5;257;85;1006;6.1;8;;;54.6;5.5;2.5;4;100
2024-01-04T22:00;04.01.2024 22:00;1;349;84;1007;5.2;3;;;42.9;5.5;2.5;4;100
2024-01-04T23:00;04.01.2024 23:00;1.2;343;79;1008;4.3;3;;;36.8;5.5;2.5;4;100
2024-01-05T00:00;05.01.2024 0:00;1.3;3;81;1009;3.6;7;;;34.5;5.5;2.5;4;100
2024-01-05T01:00;05.01.2024 1:00;0.7;357;82;1009;3.3;3;;;32.6;5.5;2.5;4;100
2024-01-05T02:00;05.01.2024 2:00;1;360;83;1010;3.1;3;;;31.7;5.5;2.5;4;100
2024-01-05T03:00;05.01.2024 3:00;0.8;7;86;1010;2.7;6;;;26.9;5.5;2.5;8.2;100
2024-01-05T04:00;05.01.2024 4:00;1.1;6;90;1010;2.1;5;;;25.1;5.5;2.5;9.2;100
2024-01-05T05:00;05.01.2024 5:00;1;6;93;1010;1.5;8;;;26.5;5.5;2.5;8.3;203.3
2024-01-05T06:00;05.01.2024 6:00;0.7;18;92;1010;1.5;6;;;18.1;5.5;2.5;19;221.2
2024-01-05T07:00;05.01.2024 7:00;0.6;79;93;1010;1.5;8;;;18.2;5.5;2.5;17.3;231.4
2024-01-05T08:00;05.01.2024 8:00;0.5;75;95;1010;1.5;16;;;10.9;5.5;6;24.3;265.9
2024-01-05T09:00;05.01.2024 9:00;0.7;79;91;1009;2.6;14;;;15;5.5;10.4;20;293.5
2024-01-05T10:00;05.01.2024 10:00;0.8;183;83;1010;4.7;26;;;17.2;5.5;17.4;25.1;311.5
2024-01-05T11:00;05.01.2024 11:00;0.9;205;83;1010;5.5;11;;;32;5.5;2.5;18.4;206.6
2024-01-05T12:00;05.01.2024 12:00;0.6;214;82;1009;5.9;13;;;31.5;5.5;2.5;21.8;210.9
2024-01-05T13:00;05.01.2024 13:00;0.8;161;81;1009;6.2;15;;;33.8;5.5;2.5;25.4;226.3
2024-01-05T14:00;05.01.2024 14:00;0.4;128;80;1008;6.5;18;;;26;5.5;5;35.5;271.4
2024-01-05T15:00;05.01.2024 15:00;0.1;220;83;1008;5.9;28;;;10.2;5.5;12.4;50.2;397
